curTime, newWaiters, rejected, lineSize
415, 41, 13, 800
416, 26, 0, 798
417, 27, 0, 797
418, 44, 13, 800
419, 29, 1, 800
420, 25, 0, 797
421, 21, 0, 790
422, 30, 0, 792
423, 22, 0, 786
424, 23, 0, 781
425, 31, 0, 784
426, 23, 0, 779
427, 29, 0, 780
428, 27, 0, 779
429, 16, 0, 767
430, 22, 0, 761
431, 29, 0, 762
432, 26, 0, 760
433, 30, 0, 762
434, 22, 0, 756
435, 21, 0, 749
436, 21, 0, 742
437, 26, 0, 740
438, 19, 0, 731
439, 27, 0, 730
440, 29, 0, 731
441, 28, 0, 731
442, 21, 0, 724
443, 24, 0, 720
444, 22, 0, 714
445, 24, 0, 710
446, 21, 0, 703
447, 23, 0, 698
448, 25, 0, 695
449, 20, 0, 687
450, 26, 0, 685
451, 15, 0, 672
452, 23, 0, 667
453, 23, 0, 662
454, 22, 0, 656
455, 28, 0, 656
456, 22, 0, 650
457, 27, 0, 649
458, 25, 0, 646
459, 32, 0, 650
460, 27, 0, 649
461, 29, 0, 650
462, 27, 0, 649
463, 22, 0, 643
464, 27, 0, 642
465, 13, 0, 627
466, 25, 0, 624
467, 30, 0, 626
468, 26, 0, 624
469, 27, 0, 623
470, 25, 0, 620
471, 24, 0, 616
472, 23, 0, 611
473, 28, 0, 611
474, 29, 0, 612
475, 27, 0, 611
476, 20, 0, 603
477, 16, 0, 591
478, 18, 0, 581
479, 27, 0, 580
480, 21, 0, 573
481, 26, 0, 571
482, 28, 0, 571
483, 26, 0, 569
484, 11, 0, 552
485, 13, 0, 537
486, 22, 0, 531
487, 22, 0, 525
488, 27, 0, 524
489, 30, 0, 526
490, 20, 0, 518
491, 23, 0, 513
492, 27, 0, 512
493, 31, 0, 515
494, 27, 0, 514
495, 22, 0, 508
496, 31, 0, 511
497, 21, 0, 504
498, 20, 0, 496
499, 25, 0, 493
500, 30, 0, 495
501, 27, 0, 494
502, 32, 0, 498
503, 21, 0, 491
504, 24, 0, 487
505, 28, 0, 487
506, 31, 0, 490
507, 25, 0, 487
508, 28, 0, 487
509, 33, 0, 492
510, 21, 0, 485
511, 32, 0, 489
512, 25, 0, 486
513, 33, 0, 491
514, 25, 0, 488
515, 25, 0, 485
516, 33, 0, 490
517, 29, 0, 491
518, 29, 0, 492
519, 26, 0, 490
520, 27, 0, 489
521, 39, 0, 500
522, 33, 0, 505
523, 23, 0, 500
524, 31, 0, 503
525, 26, 0, 501
526, 27, 0, 500
527, 28, 0, 500
528, 29, 0, 501
529, 29, 0, 502
530, 22, 0, 496
531, 26, 0, 494
532, 24, 0, 490
533, 20, 0, 482
534, 29, 0, 483
535, 31, 0, 486
536, 31, 0, 489
537, 27, 0, 488
538, 24, 0, 484
539, 26, 0, 482
540, 26, 0, 480
541, 27, 0, 479
542, 25, 0, 476
543, 20, 0, 468
544, 26, 0, 466
545, 16, 0, 454
546, 28, 0, 454
547, 25, 0, 451
548, 30, 0, 453
549, 25, 0, 450
550, 19, 0, 441
551, 25, 0, 438
552, 25, 0, 435
553, 17, 0, 424
554, 29, 0, 425
555, 23, 0, 420
556, 27, 0, 419
557, 24, 0, 415
558, 20, 0, 407
559, 24, 0, 403
560, 21, 0, 396
561, 24, 0, 392
562, 15, 0, 379
563, 28, 0, 379
564, 26, 0, 377
565, 29, 0, 378
566, 26, 0, 376
567, 24, 0, 372
568, 25, 0, 369
569, 39, 0, 380
570, 17, 0, 369
571, 18, 0, 359
572, 27, 0, 358
573, 26, 0, 356
574, 21, 0, 349
575, 21, 0, 342
576, 27, 0, 341
577, 32, 0, 345
578, 28, 0, 345
579, 24, 0, 341
580, 24, 0, 337
581, 30, 0, 339
582, 34, 0, 345
583, 33, 0, 350
584, 31, 0, 353
585, 29, 0, 354
586, 23, 0, 349
587, 25, 0, 346
588, 21, 0, 339
589, 25, 0, 336
590, 33, 0, 341
591, 24, 0, 337
592, 31, 0, 340
593, 35, 0, 347
594, 20, 0, 339
595, 24, 0, 335
596, 29, 0, 336
597, 29, 0, 337
598, 32, 0, 341
599, 22, 0, 335
